"filename", "language", "Markdown", "JavaScript", "JSON", "Python", "Vue", "TypeScript", "HTML", "Shell Script", "XML", "CSS", "Sass", "comment", "blank", "total"
"c:\Storage\Repos\Web\Spectrum\LICENSE.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Storage\Repos\Web\Spectrum\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Storage\Repos\Web\Spectrum\backend\package-lock.json", "JSON", 0, 0, 7667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7668
"c:\Storage\Repos\Web\Spectrum\backend\package.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 45
"c:\Storage\Repos\Web\Spectrum\backend\public\css\app.df348b63.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Storage\Repos\Web\Spectrum\backend\public\css\chunk-vendors.d984c5f3.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 1, 7
"c:\Storage\Repos\Web\Spectrum\backend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Storage\Repos\Web\Spectrum\backend\public\js\app.e0cbcff7.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Storage\Repos\Web\Spectrum\backend\public\js\chunk-vendors.30d3daf3.js", "JavaScript", 0, 1806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1816
"c:\Storage\Repos\Web\Spectrum\backend\public\manifest.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Storage\Repos\Web\Spectrum\backend\public\precache-manifest.22153a6990dd6a0adeb1666452f522e6.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Storage\Repos\Web\Spectrum\backend\public\service-worker.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 35
"c:\Storage\Repos\Web\Spectrum\backend\scripts\update.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4, 8
"c:\Storage\Repos\Web\Spectrum\backend\src\assets\DefaultAssetRegistry.ts", "TypeScript", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Storage\Repos\Web\Spectrum\backend\src\assets\DefaultEntityRegistry.ts", "TypeScript", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 1, 110
